sample_id,audio_path,language,duration_sec,rms_db,peak_abs,clipping_ratio,silence_ratio_amp,dc_offset,zero_crossing_rate,spectral_centroid_mean,spectral_flatness_mean,speech_duration_sec,speech_ratio,num_speech_segments,max_silence_sec,mean_speech_segment_sec,vad_backend,quality_proxy,quality_proxy_mos_like,snr_db,snr_backend,asr_text,asr_avg_logprob,asr_detected_language,asr_confidence_proxy,asr_backend,asr_text_len,chars_per_sec,intelligibility_proxy,empty_transcript_flag,low_confidence_flag,speech_rate_proxy,possible_non_speech_flag,language_match,language_score,signal_score,vad_score,quality_score,snr_score,asr_score,language_score_pct,final_score,decision,reason_codes
assamese_0010,/content/subset_data/assamese/assamese_0010.flac,as,5.631,-26.461868286132812,0.436737060546875,0.0,0.2798573975044563,7.348593044298468e-6,0.09815007990056818,1210.8437319908235,0.013873669318854809,4.27,0.7583022553720475,5,0.51,0.8539999999999999,energy_fallback,0.7924,4.1694,26.23,energy_percentile,Saul saul saul saul saul saul saul Birthakini gamlaadad broal Babata piso te,-1.3378,bn,0.3311,faster_whisper/tiny/float16,76,13.5,0.6599,false,true,0.67,false,false,0.0,75.92,99.97,79.24,87.43,45.0,40.0,75.34,review,"[""review_low_asr_confidence"", ""review_language_mismatch""]"
assamese_0011,/content/subset_data/assamese/assamese_0011.flac,as,10.242,-22.796642303466797,0.67236328125,0.0,0.18199608610567514,8.26592258817982e-6,0.08324815031152648,1145.949611471212,0.008684015832841396,7.630000000000001,0.7449716852177309,7,0.6900000000000004,1.09,energy_fallback,0.8362,4.3447,29.67,energy_percentile,"So, for example, when we go to Nagarland or Nagarland, we can go to Nagarland. If we go to Nagarland, we can go to Nagarland.",-1.4264,ne,0.2868,faster_whisper/tiny/float16,125,12.2,0.6382,false,true,0.644,false,false,0.0,82.6,98.99,83.62,98.9,45.0,40.0,79.32,review,"[""review_low_asr_confidence"", ""review_language_mismatch""]"
assamese_0012,/content/subset_data/assamese/assamese_0012.flac,as,7.357,-22.201004028320312,0.667694091796875,0.0,0.17029972752043596,0.000020131770725129172,0.09311735733695652,1223.2989273500903,0.010243604891002178,5.089999999999999,0.6918580943319286,9,0.6299999999999999,0.5655555555555555,energy_fallback,0.8433,4.3734,29.39,energy_percentile,"1 minute sonra, 1 hour later, I'm going to have a dinner. So, I'm going to make a bonay. No, I'm going to take a taxi. I'm going to take a taxi.",-1.315,bn,0.3425,faster_whisper/tiny/float16,144,19.57,0.6446,false,true,0.7914,false,false,0.0,83.53,95.4,84.33,97.97,45.0,40.0,78.89,review,"[""review_low_asr_confidence"", ""review_language_mismatch""]"
assamese_0013,/content/subset_data/assamese/assamese_0013.flac,as,12.546,-25.93118667602539,0.52581787109375,0.0,0.2713487629688747,1.8251012079417706e-6,0.09234727854643766,1231.95761821697,0.011530374176800251,9.350000000000001,0.7452574525745259,11,0.5700000000000003,0.8500000000000001,energy_fallback,0.797,4.1879,27.67,energy_percentile,Hakanikhanot Kapom Pithakini Patol Kapura Konaid Kapura Konaid Daikilui Konaid Konaid Konaid Konaid Kapura Konaid Konaid Konaid Konaid Konaid,-0.7237,bn,0.6382,faster_whisper/tiny/float16,141,11.24,0.7788,false,false,0.6248,false,false,0.0,76.67,99.42,79.7,92.23,77.88,40.0,82.15,keep,[]
assamese_0014,/content/subset_data/assamese/assamese_0014.flac,as,7.649,-22.965290069580078,0.585784912109375,0.0,0.29226736566186107,7.435642601194559e-6,0.0975341796875,1298.3945218645538,0.016318343579769135,4.989999999999999,0.6523728591972806,6,1.0,0.8316666666666667,energy_fallback,0.8158,4.2631,31.08,energy_percentile,Today I will show you beautiful color. Today I will show you beautiful color. We will see you on our new day. We will be friends with you. See you. Bye..,-2.1927,ne,0.0,faster_whisper/tiny/float16,153,20.0,0.4957,false,true,0.8,false,false,0.0,78.37,91.3,81.58,100.0,45.0,40.0,76.72,review,"[""review_low_asr_confidence"", ""review_language_mismatch""]"
assamese_0015,/content/subset_data/assamese/assamese_0015.flac,as,18.688,-24.06070899963379,0.554473876953125,0.0,0.20085698982324585,6.404641681001522e-6,0.08008647168803419,1156.1520736021748,0.006832091603428125,14.289999999999992,0.7646618150684927,12,0.7900000000000027,1.1908333333333327,energy_fallback,0.8227,4.2907,29.03,energy_percentile,"mow metabolism is heavy, but it is better than a cheap level costued under 40-60 dollars IT is used as $5 or 20% it doesn't provide any money Close and open and close",-4.3282,bn,0.0,faster_whisper/tiny/float16,166,8.88,0.5294,false,true,0.5776,false,false,0.0,80.84,99.0,82.27,96.77,45.0,40.0,78.32,review,"[""review_low_asr_confidence"", ""review_language_mismatch""]"
assamese_0016,/content/subset_data/assamese/assamese_0016.flac,as,9.856,-24.321279525756836,0.4913330078125,0.0,0.14532520325203252,1.1889965207956266e-6,0.08145605784789645,1090.8156101086759,0.007492905482649803,8.51,0.8634334415584416,4,0.6200000000000001,2.1275,energy_fallback,0.8322,4.3287,25.35,energy_percentile,I have been here for 5 years He said that he had been here for 5 years He said that he has been here for 5 years,-1.6837,bn,0.1582,faster_whisper/tiny/float16,112,11.36,0.6223,false,true,0.6272,false,false,0.0,82.68,99.59,83.22,84.5,45.0,40.0,77.2,review,"[""review_low_asr_confidence"", ""review_language_mismatch""]"
assamese_0017,/content/subset_data/assamese/assamese_0017.flac,as,10.816,-25.882606506347656,0.432373046875,0.0,0.16111111111111112,7.65655204304494e-6,0.07887974741887906,1157.3500023186104,0.007712678052484989,9.05,0.8367233727810651,5,0.6199999999999992,1.81,energy_fallback,0.8179,4.2717,25.64,energy_percentile,"Guli, pane di, guli pelai, Beijing di pola, out, bake bake bake bake mousela zatya bosto longi lasid lagun horob halwa di tehei to birhya buri boli boli aga tel bohut lag",-1.2512,bn,0.3744,faster_whisper/tiny/float16,170,15.72,0.7008,false,true,0.7144,false,false,0.0,80.8,99.59,81.79,85.47,45.0,40.0,76.61,review,"[""review_low_asr_confidence"", ""review_language_mismatch""]"
assamese_0018,/content/subset_data/assamese/assamese_0018.flac,as,9.762,-25.39332389831543,0.53875732421875,0.0,0.23613963039014374,0.000015614585208822973,0.08443276399101307,1190.0383125078508,0.008074919693171978,7.370000000000001,0.7549682442122516,7,0.47999999999999976,1.052857142857143,energy_fallback,0.8066,4.2262,27.57,energy_percentile,Tenegi gulilu is toipala Kappa batiyata in hala ruru hata kondi Gelskimi horrokadi Tad dillet Bustitu puliya,-1.2651,bn,0.3674,faster_whisper/tiny/float16,108,11.06,0.6735,false,true,0.6212,false,false,0.0,78.43,100.0,80.66,91.9,45.0,40.0,76.88,review,"[""review_low_asr_confidence"", ""review_language_mismatch""]"
assamese_0019,/content/subset_data/assamese/assamese_0019.flac,as,7.84,-24.16243553161621,0.406005859375,0.0,0.14578005115089515,7.0958722062641755e-6,0.08080657710873984,1128.0353012299388,0.0056240553967654705,6.5200000000000005,0.8316326530612246,4,0.4399999999999995,1.6300000000000001,energy_fallback,0.8325,4.33,26.71,energy_percentile,Puli lulolai ultapultaid deliyat nia rongarong fleromusaha le ka hiddil le he tumal pura pitabili,-1.3839,bn,0.3081,faster_whisper/tiny/float16,97,12.37,0.6727,false,true,0.6474,false,false,0.0,82.8,100.0,83.25,89.03,45.0,40.0,77.99,review,"[""review_low_asr_confidence"", ""review_language_mismatch""]"
assamese_0020,/content/subset_data/assamese/assamese_0020.flac,as,9.472,-23.77262306213379,0.449981689453125,0.0,0.20423280423280424,0.00001168714152299799,0.08409617003367004,1167.637700483533,0.006358329672366381,7.260000000000001,0.7664695945945947,7,0.4500000000000002,1.0371428571428571,energy_fallback,0.8239,4.2955,28.09,energy_percentile,"everything is awesome, good night. And then I heard a great voice. Well, we use trophy big wind. I don't like basketball too much.",-3.5902,si,0.0,faster_whisper/tiny/float16,130,13.72,0.5299,false,true,0.6744,false,false,0.0,80.96,100.0,82.39,93.63,45.0,40.0,78.08,review,"[""review_low_asr_confidence"", ""review_language_mismatch""]"
assamese_0021,/content/subset_data/assamese/assamese_0021.flac,as,8.703,-25.286304473876953,0.8001708984375,0.0,0.21658986175115208,0.000028524538720375858,0.07977833467371323,1091.5023303575551,0.006630341988056898,6.739999999999998,0.7744455934735147,6,0.5800000000000001,1.123333333333333,energy_fallback,0.8107,4.2428,27.24,energy_percentile,นั้นกว่าพี่เธอบรีกว่า เดี๋ยวนี่พี่เธอคุณดี พาศาลวพี่เธอคุณดี กรรมบันนี้ออกมันมว่า พี่เธอบรีกว่า,-0.8813,th,0.5594,faster_whisper/tiny/float16,95,10.92,0.7561,false,false,0.6184,false,false,0.0,79.24,99.72,81.07,90.8,75.61,40.0,82.45,keep,[]
assamese_0022,/content/subset_data/assamese/assamese_0022.flac,as,15.904,-23.709938049316406,0.64788818359375,0.0,0.24181360201511334,9.086649697565008e-6,0.08948293172690763,1218.7547899375218,0.011733410879969597,11.409999999999997,0.7174295774647885,16,0.46000000000000085,0.7131249999999997,energy_fallback,0.8188,4.2753,29.81,energy_percentile,Pani kini utrolai lo utrolai lo Pissot juit utrolao juiti utrolao juiti utrolao Kira hai pati Tabza salone edi Pitakini hanilu ek Salone sali Ako heta adi ba Agordinal Hulboro zokai bunaidi apitakini kaise goa kaan,-1.1225,bn,0.4387,faster_whisper/tiny/float16,214,13.46,0.6907,false,false,0.6692,false,false,0.0,79.62,97.67,81.88,99.37,69.07,40.0,82.45,keep,[]
assamese_0023,/content/subset_data/assamese/assamese_0023.flac,as,11.392,-23.06911849975586,0.635711669921875,0.0,0.18469656992084432,3.033809434782597e-7,0.09090237657563026,1155.1697015380112,0.007291455753147602,8.010000000000002,0.7031250000000002,9,0.581999999999999,0.8900000000000001,energy_fallback,0.8332,4.3326,29.17,energy_percentile,ขที่จะควudenกินรวมรถวัสยามทุกษ์ทนะ ก็จะสARของสายไปตริที่ บ entferรมท应ไปา จะสัพยังเราจะควรอยไม่มัน ควรควร quote สึกไว้มัน ขามแบบนีตกับเสร็ส,-3.1194,th,0.0,faster_whisper/tiny/float16,138,12.11,0.5109,false,true,0.6422,false,false,0.0,82.27,96.37,83.32,97.23,45.0,40.0,78.46,review,"[""review_low_asr_confidence"", ""review_language_mismatch""]"
assamese_0024,/content/subset_data/assamese/assamese_0024.flac,as,8.034,-21.748119354248047,0.851104736328125,0.0,0.11235955056179775,8.714356226846576e-6,0.08848547557043651,1206.0534984141218,0.006524800322949886,6.26,0.7791884490913616,5,0.5299999999999998,1.2519999999999998,energy_fallback,0.8568,4.4271,26.41,energy_percentile,ค่ะ คุมรายบอกนายรuit เอยเกิดพัดพิเท่านั้นๆ ยัง ตร้อพัดดีปันที่ให้มีปันนี้ทีทร้า ตร้อพิทยังให้นี้,-1.1949,th,0.4026,faster_whisper/tiny/float16,96,11.95,0.6948,false,false,0.639,false,false,0.0,86.05,99.9,85.68,88.03,69.48,40.0,83.47,keep,[]
assamese_0025,/content/subset_data/assamese/assamese_0025.flac,as,6.496,-21.647043228149414,0.83953857421875,0.0,0.1712962962962963,0.000011476683539513033,0.0872659122242647,1159.343493387627,0.0069745914079248905,4.96,0.7635467980295566,6,0.52,0.8266666666666667,energy_fallback,0.8459,4.3835,32.35,energy_percentile,เจอราปัดกัดที่นี่ เจอราปปัดบันที่บันที่ ทำไมเงินดีก็ให้ก่อน นี่ก็บีบินนอนท่านัยไม่เป็นพี่เธอประนาบบาดบาดบ,-0.9077,th,0.5461,faster_whisper/tiny/float16,105,16.16,0.7475,false,false,0.7232,false,false,0.0,83.95,99.93,84.59,100.0,74.75,40.0,85.52,keep,[]
assamese_0026,/content/subset_data/assamese/assamese_0026.flac,as,2.368,-23.12650489807129,0.38787841796875,0.0,0.11914893617021277,0.000013981316442368552,0.09081380208333334,1167.6681518339408,0.008968680165708065,1.9600000000000004,0.827702702702703,2,0.16999999999999993,0.9800000000000002,energy_fallback,0.8465,4.3859,24.62,energy_percentile,비타입 위협에 이만누게 고려해줘,-1.1255,ko,0.4372,faster_whisper/tiny/float16,17,7.18,0.7232,false,false,0.5436,false,false,0.0,84.65,100.0,84.65,82.07,72.32,40.0,82.57,keep,[]
assamese_0027,/content/subset_data/assamese/assamese_0027.flac,as,10.785,-31.034252166748047,0.246002197265625,0.0,0.4948932219127205,0.000023615575628355145,0.11003663553994082,1394.9260300038331,0.034425146877765656,6.620000000000002,0.6138154844691703,9,0.71,0.7355555555555557,energy_fallback,0.7244,3.8976,33.4,energy_percentile,"Himalaya, Puri City, Ton Toy Bohut, Puhutu, Pani, Pid Arul, Birl, Vanohudi Baba, Bahastan Pradan Korea.",-1.0394,bn,0.4803,faster_whisper/tiny/float16,103,9.55,0.6763,false,false,0.591,false,false,0.0,64.14,89.55,72.44,100.0,67.63,40.0,75.34,keep,[]
assamese_0028,/content/subset_data/assamese/assamese_0028.flac,as,8.896,-20.97215461730957,0.495208740234375,0.0,0.12162162162162163,0.0000745036595617421,0.08019888272849462,1152.484209836623,0.003235221840441227,7.529999999999999,0.8464478417266186,5,0.47000000000000064,1.5059999999999998,energy_fallback,0.8592,4.4369,25.25,energy_percentile,"Hi, my name is Hikot Kiteo, I am a king of the world and I am a king of the world. I am a king of the world.",-1.3428,bn,0.3286,faster_whisper/tiny/float16,108,12.14,0.6854,false,true,0.6428,false,false,0.0,86.35,100.0,85.92,84.17,45.0,40.0,78.62,review,"[""review_low_asr_confidence"", ""review_language_mismatch""]"
assamese_0029,/content/subset_data/assamese/assamese_0029.flac,as,8.32,-22.225282669067383,0.502197265625,0.0,0.0927710843373494,0.000020241966922185384,0.06831447557471264,1007.5070256366931,0.0020846170373260975,7.43,0.893028846153846,3,0.5700000000000003,2.4766666666666666,energy_fallback,0.8556,4.4225,22.71,energy_percentile,Kundna isa no e ne kakam kore rasat kol khay kolur bakoli bana hori sinem hoay tate pis al khay puri lumu kokalur bhi hutya sadya,-1.2528,ne,0.3736,faster_whisper/tiny/float16,129,15.5,0.7174,false,true,0.71,false,false,0.0,86.38,99.76,85.56,75.7,45.0,40.0,77.24,review,"[""review_low_asr_confidence"", ""review_language_mismatch""]"
assamese_0030,/content/subset_data/assamese/assamese_0030.flac,as,13.408,-21.553346633911133,0.501983642578125,0.0,0.1239731142643764,6.970471531531075e-6,0.06081426711309524,920.5005243767624,0.00270640361122787,11.637999999999998,0.867989260143198,6,0.5,1.939666666666666,energy_fallback,0.8544,4.4176,24.86,energy_percentile,"unoi, cara, Nora, Katrina, Kriy, Krona,го Steehrin, Yiffa, Kriyah Sarajak, Kriyah Kira, Korna, Kāramaya Krakash, K110 Kriyah Krona, Krakash Krona, Krona, Kura, Kala Rangaya, Kali Amar, Kakar, Kali Amar, KVi, Kavankand Kriyah, Kriyah Krona, Kriyah Krona, Krona Kriyah Krona, Kriyah Krona, Kowala Yiffa, K stereo Krona, Krakash Krona, Kriyah Krona, Kriyah Krona, K studio Yiffa Krona, Kriyah Krona, Kvi, Kowala Krona, Kriyah Krona, Kriyah Kron",-1.8393,si,0.0803,faster_whisper/tiny/float16,441,32.89,0.5925,false,true,0.9422,false,false,0.0,85.78,100.0,85.44,82.87,45.0,40.0,78.2,review,"[""review_low_asr_confidence"", ""review_language_mismatch""]"
assamese_0031,/content/subset_data/assamese/assamese_0031.flac,as,8.225,-20.492645263671875,0.4141845703125,0.0,0.13520097442143728,0.000031492472771788016,0.05657438529554264,914.5918178122574,0.0009177262545563281,7.01,0.8522796352583587,4,0.5,1.7525,energy_fallback,0.8591,4.4363,25.7,energy_percentile,Arroco el cuerpo a postcorrible el múreno que fue muy jubitajé. Arroco en que muetia y manezano o muet.,-1.1566,es,0.4217,faster_whisper/tiny/float16,103,12.52,0.7244,false,false,0.6504,false,false,0.0,86.25,100.0,85.91,85.67,72.44,40.0,83.76,keep,[]
assamese_0032,/content/subset_data/assamese/assamese_0032.flac,as,12.699,-22.267732620239258,0.499969482421875,0.0,0.21766561514195584,0.00002489030703145545,0.06703720284949623,1023.7738001283037,0.0030705169774591923,10.47,0.8244743680604772,6,0.6,1.745,energy_fallback,0.8307,4.3228,26.23,energy_percentile,YOTBORBIC FIVE INSTEMO I'm going to take a short nap I'm going to take a short nap I'm going to take a short nap I'm going to take a short nap,-1.3171,bn,0.3415,faster_whisper/tiny/float16,142,11.18,0.6839,false,true,0.6236,false,false,0.0,81.72,99.66,83.07,87.43,45.0,40.0,77.41,review,"[""review_low_asr_confidence"", ""review_language_mismatch""]"
assamese_0033,/content/subset_data/assamese/assamese_0033.flac,as,3.669,-34.25404357910156,0.13812255859375,0.0,0.5643835616438356,3.015159961705649e-7,0.06804942255434783,970.2452561901353,0.017643744125962257,2.49,0.678659035159444,4,0.5489999999999999,0.6225,energy_fallback,0.6812,3.7248,50.0,energy_percentile,"",,ms,,faster_whisper/tiny/float16,0,0.0,0.4036,true,false,0.0,false,false,0.0,58.89,94.74,68.12,100.0,35.0,40.0,68.29,review,"[""review_empty_transcript""]"
assamese_0034,/content/subset_data/assamese/assamese_0034.flac,as,5.508,-22.394941329956055,0.515716552734375,0.0,0.3679417122040073,0.00004652504139812663,0.06849202944364162,1242.8976524291295,0.015618134289979935,3.3000000000000003,0.599128540305011,3,0.8579999999999997,1.1,energy_fallback,0.8042,4.2166,42.43,energy_percentile,"Kalo humbar, puanan bosat, itu alarm set kura.",-0.9432,id,0.5284,faster_whisper/tiny/float16,46,8.35,0.6911,false,false,0.567,false,false,0.0,76.04,87.99,80.42,100.0,69.11,40.0,79.7,keep,[]
assamese_0035,/content/subset_data/assamese/assamese_0035.flac,as,17.728,-31.136016845703125,0.160675048828125,0.0,0.3879164313946923,0.000029596611057058908,0.0412549268018018,776.8639782436009,0.0031127093825489283,12.398,0.699345667870036,10,0.9800000000000004,1.2398,energy_fallback,0.7333,3.9333,29.83,energy_percentile,So it does like more bond ways and all. John Modina Seal. Phone doors like my photographer come with me as to how to deal with it. Hold doors like my bond ways and all. What is it? What is it? Who does it? My career is going to be a little bit different. I will be able to do it.,-1.0429,bn,0.4786,faster_whisper/tiny/float16,279,15.74,0.7012,false,false,0.7148,false,false,0.0,68.02,94.73,73.33,99.43,70.12,40.0,77.68,keep,[]
assamese_0036,/content/subset_data/assamese/assamese_0036.flac,as,3.232,-32.01240921020508,0.1339111328125,0.0,0.4392523364485981,0.000033412830816814676,0.041207107843137254,790.9304028226068,0.0032319934107363224,2.04,0.6311881188118812,2,0.99,1.02,energy_fallback,0.7168,3.8674,29.96,energy_percentile,アルウトロルスライトもいっぱいはあくなりやすいか,-1.068,ja,0.466,faster_whisper/tiny/float16,24,7.43,0.6758,false,false,0.5486,false,false,0.0,65.39,89.82,71.68,99.87,67.58,40.0,75.47,keep,[]
assamese_0037,/content/subset_data/assamese/assamese_0037.flac,as,3.748,-20.089900970458984,0.999969482421875,0.00010005336179295624,0.0,5.1948277359770145e-6,0.1358994306144068,1628.3561595057488,0.028074124827980995,3.13,0.8351120597652081,1,0.6180000000000003,3.13,energy_fallback,0.8982,4.5927,20.56,energy_percentile,흙 휘가,-1.2862,ko,0.3569,faster_whisper/tiny/float16,4,1.07,0.6933,false,true,0.0,false,false,0.0,91.48,99.59,89.82,68.53,45.0,40.0,78.19,review,"[""review_low_asr_confidence"", ""review_language_mismatch""]"
assamese_0038,/content/subset_data/assamese/assamese_0038.flac,as,5.107,-18.293306350708008,0.709228515625,0.0,0.0,0.000035646542528411373,0.125506591796875,1393.557909637607,0.008780032396316528,5.087000000000001,0.9960838065400431,1,0.02,5.087000000000001,energy_fallback,0.9048,4.6191,15.56,energy_percentile,"Muita menina de hora y yo te atraso, vas a arborar, covisiel que se encotan.",-1.1936,es,0.4032,faster_whisper/tiny/float16,76,14.88,0.7601,false,false,0.6976,false,false,0.0,93.09,100.0,90.48,51.87,76.01,40.0,81.85,keep,[]
assamese_0039,/content/subset_data/assamese/assamese_0039.flac,as,6.879,-24.86442756652832,0.618316650390625,0.0,0.5539358600583091,0.000057629433285910636,0.07039880087209302,1154.6320397235604,0.009309551678597927,3.0100000000000002,0.4375635993603722,5,0.98,0.6020000000000001,energy_fallback,0.6931,3.7724,44.46,energy_percentile,or home Meghaloi Tripura Monipur Nagaland,-0.9178,bn,0.5411,faster_whisper/tiny/float16,41,5.96,0.6477,false,false,0.5192,false,false,0.0,67.1,76.03,69.31,100.0,64.77,40.0,72.35,keep,[]
